Datum,min,max
16/06/2017,4,20.5
17/06/2017,11.2,19.8
18/06/2017,11.6,17.7
19/06/2017,7.5,16
20/06/2017,0.7,14.8
21/06/2017,3.5,12.7
22/06/2017,3.2,7.6
23/06/2017,4.5,12.2
24/06/2017,3.7,15.3
25/06/2017,8.5,17.6
26/06/2017,9.1,13.3
27/06/2017,8.9,13
28/06/2017,8.1,14.5
29/06/2017,2.5,17.7
30/06/2017,2.1,22.3
01/07/2017,4.7,22.5
02/07/2017,3.3,22.8
03/07/2017,5.8,22.1
04/07/2017,9.4,18.2
05/07/2017,4.1,9.4
06/07/2017,3.5,12
07/07/2017,-1.8,17.6
08/07/2017,5.7,20.9
09/07/2017,1.9,20.6
10/07/2017,1.1,20.6
11/07/2017,10.9,20.1
12/07/2017,11,18.8
13/07/2017,13.9,17.2
14/07/2017,11.4,19.3
15/07/2017,8.7,18.5
16/07/2017,3.5,20.7
17/07/2017,12.1,18.7
18/07/2017,9.7,15.3
19/07/2017,8.6,11.8
20/07/2017,8.5,13.6
21/07/2017,7.4,13.5
22/07/2017,1.7,13.9
23/07/2017,1.1,20.1
24/07/2017,4.3,22.8
25/07/2017,5.1,25.2
26/07/2017,2.4,25.8
27/07/2017,6.4,23
28/07/2017,8.1,24.1
29/07/2017,8.7,23.1
30/07/2017,10.1,21.8
31/07/2017,7.7,19.5
01/08/2017,10.6,18.4
02/08/2017,6.7,19.9
03/08/2017,6.7,19.8
04/08/2017,7.9,19.1
05/08/2017,8.9,17.7
06/08/2017,10.1,16
07/08/2017,9.2,17.5
08/08/2017,3.4,18.7
09/08/2017,12.2,19.6
10/08/2017,7.5,16.8
11/08/2017,10.4,17.5
12/08/2017,11,20.8
13/08/2017,11.8,17.9
14/08/2017,3.6,17.6
15/08/2017,6.1,16.9
16/08/2017,-1.1,18.9
17/08/2017,11.1,19.1
18/08/2017,3.4,20.3
19/08/2017,13.2,18.9
20/08/2017,12.6,16.2
21/08/2017,9.4,13.3
22/08/2017,7.3,12.3
23/08/2017,3.8,12
24/08/2017,7,9.2
25/08/2017,4.9,7.1
26/08/2017,4.3,8.1
27/08/2017,4.6,11
28/08/2017,-3.2,15.3
29/08/2017,8.7,13
30/08/2017,2.8,16.6
31/08/2017,8.3,18.1
01/09/2017,2.7,12.4
02/09/2017,1.3,15.4
03/09/2017,-2.1,17.2
04/09/2017,4.7,18
05/09/2017,-2.3,15.1
06/09/2017,-3.1,14.4
07/09/2017,-2.9,15.7
08/09/2017,0.2,11.8
09/09/2017,5.6,10
10/09/2017,6.7,8.3
11/09/2017,8.1,14.4
12/09/2017,10.2,13.7
13/09/2017,7,10.4
14/09/2017,7,9.7
15/09/2017,2.5,7
16/09/2017,4.8,7.6
17/09/2017,-0.7,10.3
18/09/2017,5.7,9.4
19/09/2017,4.1,8
20/09/2017,4.4,6.8
21/09/2017,3,9.4
22/09/2017,6.5,9.6
23/09/2017,5.4,9
24/09/2017,2.6,11.4
25/09/2017,7.7,11.8
26/09/2017,5.1,11.1
27/09/2017,1.3,8.4
28/09/2017,5.1,7.6
29/09/2017,4.5,8.2
30/09/2017,3.6,6.6
01/10/2017,3,6.7
02/10/2017,3.5,6.3
03/10/2017,4.8,6
04/10/2017,4.9,6.3
05/10/2017,4.6,7.6
06/10/2017,4.4,8
07/10/2017,4,7
08/10/2017,3.8,8
09/10/2017,0.8,5.3
10/10/2017,1.7,4
