Datum,precip_mm
22/03/2016,0
23/03/2016,1
24/03/2016,0.3
25/03/2016,0.5
26/03/2016,0
27/03/2016,0
28/03/2016,0
29/03/2016,0
30/03/2016,0
31/03/2016,0
01/04/2016,0
02/04/2016,0
03/04/2016,0
04/04/2016,1.9
05/04/2016,0.4
06/04/2016,9.3
07/04/2016,3
08/04/2016,1.6
09/04/2016,0.5
10/04/2016,0
11/04/2016,0
12/04/2016,3.2
13/04/2016,0
14/04/2016,0
15/04/2016,0
16/04/2016,6.5
17/04/2016,1.6
18/04/2016,5.2
19/04/2016,7.9
20/04/2016,0
21/04/2016,2
22/04/2016,0
23/04/2016,0
24/04/2016,0
25/04/2016,2.8
26/04/2016,7.2
27/04/2016,0.8
28/04/2016,0
29/04/2016,0.2
30/04/2016,0
01/05/2016,0
02/05/2016,0
03/05/2016,0
04/05/2016,0.3
05/05/2016,0
06/05/2016,0
