Datum,precip_mm
05/07/2012,0
06/07/2012,0
07/07/2012,0
08/07/2012,0
09/07/2012,0
10/07/2012,0
11/07/2012,0
12/07/2012,0
13/07/2012,6.7
14/07/2012,10.8
15/07/2012,3.8
16/07/2012,0
17/07/2012,0
18/07/2012,0.3
19/07/2012,3.7
20/07/2012,0
21/07/2012,0
22/07/2012,0.6
23/07/2012,0
24/07/2012,0
25/07/2012,0
26/07/2012,0
27/07/2012,0.2
28/07/2012,1.5
29/07/2012,6
30/07/2012,0.5
31/07/2012,2.2
01/08/2012,0.3
02/08/2012,1.5
03/08/2012,0
04/08/2012,0
05/08/2012,6.8
06/08/2012,0.5
07/08/2012,0
08/08/2012,0
09/08/2012,0
10/08/2012,0
11/08/2012,0
12/08/2012,0
13/08/2012,0
14/08/2012,0
15/08/2012,0
16/08/2012,0
17/08/2012,0
18/08/2012,0.3
19/08/2012,0.4
20/08/2012,0
21/08/2012,0
22/08/2012,0.2
23/08/2012,0
24/08/2012,0.4
25/08/2012,0
26/08/2012,12.1
27/08/2012,22.9
28/08/2012,0
29/08/2012,0.8
30/08/2012,0
31/08/2012,4.1
01/09/2012,0
02/09/2012,0.4
03/09/2012,0.3
04/09/2012,7
05/09/2012,3.3
06/09/2012,1.1
07/09/2012,0
08/09/2012,0
09/09/2012,0
10/09/2012,0
11/09/2012,0
12/09/2012,3.4
13/09/2012,0
14/09/2012,5.5
15/09/2012,4.7
16/09/2012,0
17/09/2012,18.7
18/09/2012,6.8
19/09/2012,1
20/09/2012,5.9
21/09/2012,0
22/09/2012,0
23/09/2012,0.1
24/09/2012,0.1
25/09/2012,0.1
26/09/2012,0
27/09/2012,4.9
28/09/2012,0.5
29/09/2012,0.2
30/09/2012,7.1
01/10/2012,0.2
02/10/2012,0.5
03/10/2012,0.3
04/10/2012,8.8
05/10/2012,4.8
06/10/2012,6
07/10/2012,2.9
08/10/2012,2.4
09/10/2012,5.5
10/10/2012,0.6
11/10/2012,0
12/10/2012,0
13/10/2012,0.1
14/10/2012,0
15/10/2012,0.1
16/10/2012,0.1
17/10/2012,0.1
18/10/2012,0.4
19/10/2012,0
20/10/2012,0
21/10/2012,0
22/10/2012,0
23/10/2012,7.3
24/10/2012,0
25/10/2012,1.6
26/10/2012,11.7
27/10/2012,0
